human,ashuman,asmachine
16,11,17
16,15,17
28,18,0
24,11,21
23,18,18
19,23,0
13,20,0
14,0,0
16,20,24
21,15,28
10,15,17
20,18,19
18,20,0
12,14,18
17,20,9
17,19,18
19,18,22
15,26,26
17,20,15
19,15,16
16,22,0
15,22,24
14,18,16
34,18,20
20,12,15
16,12,19
20,16,20
24,12,1
16,13,21
31,35,23
11,18,0
21,13,25
18,19,14
13,19,17
13,11,17
13,21,15
1,14,16
28,25,1
23,16,14
35,19,13
14,16,18
21,24,0
13,12,17
12,18,11
19,23,21
27,21,22
10,21,21
27,21,31
7,14,16
25,0,16
16,24,19
19,15,12
19,19,23
20,19,22
31,22,0
14,18,0
16,20,15
30,29,21
23,16,16
19,20,26
11,22,15
19,18,13
12,21,23
17,13,17
12,18,26
18,18,17
8,1,16
17,20,16
19,22,13
19,18,17
26,15,24
16,13,13
17,20,16
13,1,18
14,24,0
18,24,19
20,24,31
10,22,26
12,18,18
19,2,22
7,14,20
11,22,19
23,24,24
20,38,13
24,18,13
26,14,21
11,24,22
26,1,12
17,36,14
12,19,13
12,25,20
17,20,19
12,28,21
14,10,14
18,24,14
23,27,25
24,12,24
15,1,29
18,25,25
19,19,14
14,19,17
16,7,13
24,19,14
31,21,4
15,22,17
24,29,27
10,16,21
11,22,14
11,18,21
15,23,29
15,12,12
12,13,16
24,10,14
10,14,11
10,20,15
28,18,22
20,11,18
14,17,21
12,14,13
11,21,16
14,15,11
27,9,21
24,15,16
35,23,8
6,9,10
16,15,9
13,18,17
15,14,6
14,15,6
27,20,15
14,16,16
17,17,8
14,20,9
8,13,11
17,20,12
17,22,13
17,20,10
13,19,16
16,14,15
14,13,20
20,12,14
13,10,6
16,16,16
11,10,15
17,24,11
11,23,19
7,14,16
11,17,10
4,22,7
25,15,26
12,10,9
18,18,15
20,22,15
16,17,22
14,8,19
19,20,10
30,14,11
12,5,11
14,15,18
16,24,13
13,30,9
20,26,9
20,11,12
32,13,18
5,14,14
28,13,8
29,27,15
17,22,27
14,11,11
13,20,11
30,23,9
21,10,24
11,22,19
19,13,7
14,18,9
14,18,15
25,13,11
8,10,14
12,16,11
16,19,13
20,17,21
8,12,13
27,25,9
9,11,16
20,15,16
22,20,10
17,15,26
29,14,7
19,15,5
11,20,11
38,29,18
5,24,15
18,15,11
8,12,20
9,18,8
11,15,14
9,17,7
6,8,11
24,19,19
5,10,8
