human,continue,explain,create
266.0,248.0,164.0,225.0
296.0,181.0,178.0,196.0
313.0,283.0,215.0,254.0
125.0,247.0,174.0,191.0
257.0,166.0,227.0,183.0
380.0,230.0,240.0,181.0
257.0,239.0,199.0,158.0
321.0,310.0,277.0,271.0
409.0,171.0,130.0,183.0
362.0,330.0,206.0,286.0
274.0,245.0,175.0,200.0
234.0,260.0,288.0,261.0
271.0,212.0,214.0,170.0
421.0,265.0,312.0,194.0
269.0,237.0,260.0,151.0
298.0,200.0,139.0,210.0
255.0,183.0,200.0,191.0
231.0,200.0,185.0,194.0
225.0,210.0,201.0,147.0
413.0,190.0,284.0,167.0
359.0,271.0,264.0,212.0
293.0,225.0,171.0,195.0
348.0,310.0,253.0,296.0
219.0,249.0,252.0,175.0
266.0,131.0,236.0,234.0
317.0,155.0,285.0,273.0
247.0,174.0,240.0,228.0
248.0,273.0,205.0,238.0
222.0,257.0,186.0,171.0
391.0,285.0,268.0,193.0
379.0,137.0,272.0,208.0
296.0,219.0,184.0,200.0
256.0,272.0,288.0,144.0
339.0,163.0,239.0,194.0
227.0,222.0,149.0,182.0
280.0,264.0,310.0,152.0
245.0,229.0,214.0,208.0
253.0,199.0,163.0,200.0
243.0,211.0,241.0,205.0
307.0,161.0,184.0,235.0
181.0,228.0,266.0,223.0
371.0,187.0,158.0,280.0
308.0,242.0,255.0,288.0
254.0,203.0,258.0,159.0
338.0,230.0,237.0,183.0
337.0,281.0,222.0,224.0
316.0,205.0,180.0,224.0
259.0,324.0,285.0,328.0
237.0,232.0,157.0,199.0
352.0,178.0,168.0,280.0
374.0,318.0,283.0,337.0
276.0,244.0,157.0,288.0
381.0,282.0,299.0,268.0
298.0,229.0,164.0,152.0
263.0,236.0,204.0,231.0
255.0,192.0,172.0,180.0
217.0,235.0,230.0,163.0
282.0,160.0,252.0,180.0
257.0,252.0,267.0,167.0
388.0,301.0,301.0,297.0
273.0,294.0,279.0,267.0
278.0,204.0,267.0,202.0
127.0,152.0,191.0,213.0
294.0,197.0,211.0,236.0
275.0,266.0,285.0,264.0
280.0,294.0,322.0,275.0
443.0,222.0,318.0,310.0
287.0,210.0,206.0,243.0
228.0,263.0,277.0,278.0
411.0,158.0,144.0,261.0
269.0,250.0,141.0,183.0
375.0,255.0,256.0,267.0
449.0,343.0,281.0,297.0
265.0,294.0,233.0,322.0
268.0,184.0,243.0,232.0
379.0,182.0,286.0,211.0
240.0,268.0,325.0,268.0
368.0,221.0,271.0,296.0
279.0,264.0,323.0,328.0
232.0,205.0,193.0,154.0
403.0,240.0,233.0,209.0
230.0,233.0,146.0,254.0
226.0,253.0,272.0,286.0
267.0,137.0,257.0,180.0
316.0,278.0,243.0,196.0
266.0,156.0,189.0,225.0
433.0,260.0,135.0,160.0
412.0,144.0,149.0,149.0
240.0,176.0,206.0,174.0
271.0,214.0,262.0,189.0
271.0,194.0,173.0,261.0
288.0,269.0,249.0,168.0
303.0,265.0,283.0,311.0
223.0,224.0,186.0,155.0
306.0,196.0,183.0,266.0
216.0,258.0,251.0,230.0
269.0,171.0,244.0,203.0
449.0,319.0,293.0,288.0
253.0,248.0,210.0,254.0
274.0,154.0,253.0,229.0
317.0,272.0,272.0,289.0
345.0,259.0,146.0,154.0
334.0,247.0,311.0,161.0
369.0,203.0,170.0,272.0
390.0,248.0,231.0,335.0
256.0,284.0,262.0,220.0
272.0,222.0,159.0,154.0
333.0,246.0,166.0,181.0
406.0,235.0,253.0,277.0
374.0,283.0,314.0,174.0
353.0,267.0,276.0,147.0
244.0,298.0,243.0,168.0
225.0,282.0,270.0,175.0
358.0,311.0,297.0,165.0
304.0,150.0,142.0,147.0
390.0,116.0,309.0,185.0
351.0,247.0,280.0,148.0
198.0,311.0,178.0,253.0
281.0,150.0,157.0,202.0
318.0,290.0,275.0,168.0
309.0,264.0,157.0,168.0
400.0,240.0,300.0,229.0
289.0,204.0,259.0,173.0
314.0,245.0,185.0,150.0
242.0,143.0,173.0,290.0
287.0,252.0,167.0,175.0
322.0,149.0,163.0,146.0
294.0,241.0,274.0,139.0
297.0,266.0,267.0,155.0
346.0,286.0,327.0,177.0
358.0,257.0,254.0,162.0
275.0,150.0,162.0,138.0
348.0,248.0,223.0,151.0
277.0,267.0,308.0,176.0
382.0,223.0,264.0,181.0
216.0,163.0,195.0,215.0
309.0,271.0,170.0,176.0
335.0,250.0,178.0,160.0
327.0,280.0,298.0,139.0
306.0,138.0,292.0,199.0
285.0,272.0,247.0,252.0
357.0,274.0,267.0,195.0
237.0,229.0,273.0,166.0
300.0,318.0,292.0,203.0
363.0,185.0,188.0,262.0
315.0,190.0,232.0,235.0
297.0,198.0,175.0,153.0
273.0,191.0,170.0,159.0
363.0,161.0,291.0,257.0
280.0,149.0,249.0,151.0
380.0,301.0,282.0,162.0
247.0,161.0,198.0,164.0
293.0,234.0,136.0,172.0
299.0,291.0,154.0,184.0
276.0,211.0,279.0,187.0
333.0,182.0,185.0,167.0
253.0,158.0,141.0,171.0
355.0,253.0,309.0,165.0
267.0,176.0,175.0,226.0
505.0,246.0,172.0,338.0
320.0,250.0,260.0,278.0
239.0,292.0,166.0,234.0
289.0,156.0,260.0,249.0
311.0,176.0,178.0,271.0
445.0,201.0,256.0,154.0
275.0,231.0,297.0,202.0
226.0,120.0,177.0,162.0
265.0,234.0,262.0,257.0
367.0,290.0,267.0,183.0
289.0,165.0,292.0,227.0
269.0,251.0,240.0,174.0
244.0,206.0,140.0,140.0
256.0,272.0,283.0,149.0
322.0,187.0,272.0,313.0
345.0,172.0,318.0,186.0
267.0,207.0,185.0,150.0
262.0,273.0,279.0,199.0
339.0,211.0,255.0,173.0
249.0,197.0,188.0,180.0
450.0,310.0,303.0,174.0
402.0,250.0,239.0,167.0
335.0,191.0,141.0,133.0
266.0,206.0,237.0,200.0
402.0,214.0,320.0,164.0
302.0,149.0,258.0,161.0
286.0,190.0,165.0,162.0
320.0,307.0,194.0,172.0
334.0,278.0,247.0,173.0
332.0,229.0,156.0,145.0
374.0,296.0,255.0,179.0
340.0,187.0,307.0,171.0
340.0,260.0,306.0,178.0
254.0,145.0,235.0,153.0
435.0,169.0,275.0,193.0
315.0,262.0,253.0,177.0
386.0,273.0,186.0,170.0
373.0,268.0,283.0,171.0
330.0,171.0,309.0,273.0
390.0,238.0,289.0,197.0
371.0,185.0,296.0,181.0
